claim_id,customer_id,policy_id,age,insurance_type,region,claim_amount,policy_annual_premium,months_as_customer,num_previous_claims,police_report_filed,witnesses,injury_claim,vehicle_claim,total_claim_amount,fraud_reported
83,3027,872268,19,Auto,Casablanca,1948.07,13975.58,48,2,1,1,0,0,6977.6,0
84,3695,338540,24,Health,Rabat,4893.47,7307.29,29,1,1,1,1,0,7387.21,0
85,6258,328506,65,Auto,Agadir,1878.11,12858.12,160,2,1,0,0,1,5355.3,0
86,6618,836777,38,Life,Marrakech,1898.67,682.72,153,4,1,2,0,0,5260.79,0
87,7736,110785,36,Life,Rabat,7620.81,4823.99,76,4,0,2,1,1,4126.25,1
88,1391,172227,42,Life,Tangier,3616.79,14942.68,238,1,1,0,1,1,7162.67,0
89,6892,948389,64,Travel,Fes,4547.12,6703.65,63,0,1,0,1,0,9120.22,0
90,4561,689719,39,Life,Tangier,424.25,13383.16,9,2,1,1,0,1,1463.21,0
91,7184,510513,28,Auto,Rabat,5105.04,5255.98,199,1,1,0,0,1,3723.9,0
92,4099,958326,50,Auto,Casablanca,788.29,8117.27,14,3,0,1,0,1,3422.66,1
93,7278,347941,49,Life,Marrakech,2894.52,12886.18,20,6,0,2,0,0,9520.02,0
94,9392,819132,38,Home,Agadir,832.27,9284.4,212,2,0,0,0,1,16456.23,0
95,4104,250653,56,Home,Marrakech,9131.73,11015.29,10,1,1,2,0,0,7537.27,0
96,8215,417336,37,Home,Casablanca,26783.18,3818.08,139,2,0,1,0,1,5671.14,0
97,3454,363606,25,Health,Marrakech,2497.16,2760.41,167,1,1,0,1,1,2278.98,0
98,9996,490992,59,Travel,Fes,2469.4,3839.44,147,1,1,1,1,0,31627.51,0
99,3731,819533,54,Life,Fes,10269.15,7649.21,147,0,0,1,0,0,1953.85,1
100,9154,438250,26,Health,Fes,5921.02,12113.99,171,1,1,0,1,0,1400.92,0
101,6056,410809,42,Home,Tangier,2736.57,5632.91,189,2,1,0,1,1,10092.07,0
102,9110,799774,42,Life,Casablanca,4637.13,8689.83,70,3,1,1,0,1,2946.81,0
103,4840,443154,50,Health,Fes,34056.5,12169.78,72,1,1,1,0,1,10556.91,0
104,2028,696861,19,Auto,Rabat,1331.09,3962.26,65,2,1,1,0,0,20581.31,0
105,8385,324737,36,Home,Fes,1475.77,13303.15,151,3,0,0,1,1,3761.63,1
106,1502,994235,63,Health,Agadir,7735.61,14319.69,104,0,0,3,0,0,7753.87,0
107,7910,743970,37,Auto,Tangier,37606.09,1065.07,229,1,0,1,0,1,3145.61,0
108,7938,637674,59,Home,Rabat,3687.33,1357.11,60,1,0,1,0,0,5292.07,0
109,5488,486213,58,Travel,Casablanca,383.19,1818.92,138,1,1,1,1,0,4324.29,0
110,1206,154460,59,Home,Casablanca,4762.17,11763.14,63,1,0,1,0,0,12836.54,0
111,6134,499437,46,Travel,Agadir,1587.73,3245.39,130,4,1,3,0,0,2849.18,0
112,6977,516690,23,Travel,Fes,5278.48,11022.59,36,2,1,0,0,0,2505.58,0
113,8721,215375,34,Travel,Rabat,583.36,6898.5,118,2,1,2,0,0,4034.77,0
114,8035,999092,42,Life,Agadir,507.27,12625.7,57,0,1,1,0,0,9537.33,0
115,2484,252117,55,Life,Rabat,2087.57,12224.05,194,2,0,2,0,1,2210.25,0
116,8858,977751,21,Travel,Fes,21648.68,14415.11,79,4,1,2,0,0,1505.63,1
117,1863,216582,47,Auto,Fes,574.82,4140.05,20,2,1,1,0,0,15914.81,0
118,3790,598909,37,Travel,Marrakech,2029.58,3823.97,42,1,0,3,0,1,532.3,0
119,8408,867303,20,Health,Marrakech,514.62,956.87,21,1,0,3,0,0,1336.76,0
120,9755,778066,40,Travel,Fes,4221.08,6451.03,222,0,0,0,0,0,42872.9,0
121,6116,929203,68,Life,Tangier,3888.6,7156.42,216,2,1,0,0,0,852.51,0
122,7019,676623,35,Life,Agadir,539.86,14485.45,194,0,0,1,0,1,3172.78,0
123,2757,853375,43,Health,Marrakech,13978.51,12546.39,166,2,1,3,0,0,2568.77,0
124,8574,152949,73,Health,Fes,296.89,2918.48,214,0,1,1,0,0,495.69,0
125,7374,563930,53,Home,Rabat,19766.49,12078.1,93,2,0,0,1,1,1802.01,1
126,7892,195558,25,Auto,Agadir,15511.9,3085.34,78,2,1,1,1,0,6406.93,0
127,2678,508456,34,Auto,Marrakech,4302.52,1627.59,197,1,0,0,0,0,10454.75,0
128,4242,988704,48,Auto,Tangier,8737.1,12637.7,24,2,0,1,0,0,14815.75,0
129,5636,889148,54,Life,Agadir,2407.32,14651.41,26,2,0,1,1,0,3382.33,0
130,2059,247646,62,Auto,Agadir,469.45,1777.72,130,4,1,1,0,0,773.11,0
131,7668,867175,74,Home,Casablanca,3959.14,12301.91,174,1,1,3,1,0,5175.86,0
132,4157,566933,50,Home,Rabat,452.55,12958.58,109,3,0,1,1,1,19428.41,0
133,6915,604515,44,Auto,Tangier,2942.29,2221.96,34,5,0,0,1,0,22603.9,1
134,3693,817186,62,Health,Tangier,675.73,4607.18,190,0,1,1,0,0,13127.26,0
135,4627,775573,21,Home,Tangier,9609.39,11138.08,215,0,1,1,0,0,1257.53,0
136,6450,171916,39,Health,Rabat,4704.16,12212.09,169,1,0,2,0,0,4045.86,0
137,2663,821511,43,Life,Tangier,6727.55,5632.62,99,2,1,1,0,0,6185.52,0
138,6592,359590,49,Home,Casablanca,4484.36,2818.98,143,0,1,2,0,1,7274.69,0
139,8392,872378,41,Health,Marrakech,28480.54,9900.99,55,0,0,3,0,0,830.0,1
140,2306,675194,63,Auto,Rabat,10166.77,10678.54,3,0,0,1,0,1,38415.45,1
141,7776,886895,52,Life,Tangier,23025.24,7802.31,76,0,0,3,1,1,18389.32,1
142,6864,174694,54,Travel,Fes,1012.26,2601.65,166,2,1,0,0,0,4901.39,0
143,8526,513867,49,Travel,Marrakech,1554.48,12745.06,179,0,0,1,1,1,5584.65,0
144,9901,955126,24,Auto,Agadir,162.72,9856.36,145,2,1,0,1,1,2982.02,0
145,6575,382152,50,Life,Rabat,1861.49,13102.88,230,2,1,0,0,0,16916.42,0
146,6530,170474,48,Life,Fes,2856.47,14028.05,219,1,1,1,0,0,1544.93,0
147,5413,662473,72,Life,Agadir,5019.95,12182.62,211,2,0,0,1,0,5506.09,0
148,4748,450068,29,Life,Fes,1576.35,14400.53,49,1,1,0,0,0,2127.37,0
149,1663,362048,28,Travel,Tangier,7213.3,14336.74,149,2,1,0,1,1,4828.81,0
150,2998,880862,41,Health,Rabat,6631.67,9480.5,232,0,1,1,1,1,15819.49,0
151,8994,826499,25,Life,Tangier,1688.7,11058.52,88,1,1,0,0,1,2583.52,0
152,2495,921412,49,Health,Agadir,943.77,10641.42,152,0,1,1,1,0,5890.32,0
153,4304,646792,74,Life,Casablanca,3226.29,9506.47,211,1,1,1,0,1,4325.44,0
154,4763,154970,55,Home,Fes,3358.29,780.65,223,1,1,1,1,0,2358.0,0
155,6232,378910,39,Home,Casablanca,1437.58,5660.65,40,0,0,0,0,0,2650.24,0
156,2853,741232,51,Home,Agadir,2184.08,1951.14,148,1,1,1,0,1,2679.8,0
157,7585,980354,36,Life,Tangier,543.79,4853.76,207,3,1,1,0,1,808.14,0
158,2291,504911,69,Health,Marrakech,6729.53,1494.19,104,1,0,1,1,0,4202.04,0
159,4581,511012,37,Travel,Fes,6861.49,13840.46,163,1,1,1,1,1,5312.55,0
160,8554,273615,73,Auto,Marrakech,3161.45,7044.28,176,1,1,0,1,0,1079.5,0
161,8280,597666,31,Travel,Rabat,7469.64,3245.78,227,0,0,1,0,0,3124.3,0
162,2636,788499,50,Life,Fes,3489.06,8979.3,161,1,1,0,0,0,3921.85,0
163,4696,220494,27,Home,Casablanca,20733.77,3348.54,104,5,0,1,0,0,11027.98,1
164,1698,859229,33,Home,Marrakech,629.11,12164.38,184,0,1,0,1,0,27588.82,0
165,5737,633090,21,Health,Agadir,3797.69,4935.83,41,2,0,2,1,1,7284.03,0
166,1854,271277,44,Life,Rabat,8813.31,5066.06,182,2,1,1,0,0,1240.0,0
167,9164,591966,45,Travel,Fes,17863.59,13114.29,44,2,0,3,1,1,1949.59,0
168,6855,396303,60,Life,Agadir,7716.3,8608.44,210,2,0,3,0,1,5289.48,0
169,8392,111516,33,Life,Rabat,857.85,13365.88,81,0,0,3,1,0,3126.02,0
170,7528,412636,69,Home,Casablanca,409.09,6486.88,200,1,1,0,0,1,4722.06,0
171,6249,915518,50,Travel,Agadir,2431.22,5486.95,84,0,0,1,0,1,11251.71,0
172,6172,738046,65,Auto,Fes,4601.15,7839.94,139,2,1,1,1,0,4139.99,0
173,2707,654768,36,Home,Rabat,9262.06,1391.63,222,1,1,1,1,0,56770.87,0
174,6791,283163,38,Travel,Tangier,800.66,2735.91,219,4,1,1,0,1,1014.57,0
175,6535,228023,39,Health,Fes,6203.6,3683.06,231,2,1,0,0,1,8424.84,0
176,5931,472339,26,Home,Fes,119.92,12341.82,142,2,0,2,1,0,926.79,0
177,4510,278838,26,Health,Fes,1227.34,11140.08,170,1,0,3,1,1,2094.95,0
178,1202,925169,26,Home,Fes,8369.36,3302.96,207,2,0,1,1,1,11401.33,0
179,5218,371409,44,Life,Tangier,713.76,4512.84,12,2,1,1,0,0,625.69,0
180,9958,738453,34,Travel,Agadir,792.9,14191.8,212,2,1,3,0,1,6614.99,0
181,5389,743789,61,Health,Agadir,1586.83,1744.14,17,2,0,1,1,1,1416.94,0
182,3327,873617,74,Home,Agadir,3686.34,8438.1,232,0,1,3,0,0,4582.96,0
183,9004,433134,62,Health,Casablanca,781.87,8069.1,90,2,0,2,0,0,2617.92,0
184,3931,594670,25,Home,Tangier,2867.68,11022.76,206,0,0,1,0,1,4984.46,0
185,8777,901818,33,Home,Tangier,1774.7,4290.81,25,0,1,1,0,0,7313.81,0
186,1197,991150,35,Auto,Rabat,11962.34,14054.2,26,1,0,2,0,0,14167.68,0
187,8125,923857,50,Auto,Marrakech,1668.14,6453.45,175,2,1,1,0,1,5648.0,0
188,2930,221635,18,Auto,Agadir,3084.08,4642.93,153,1,1,0,1,0,9095.84,0
189,7287,798614,29,Health,Marrakech,3639.51,5384.61,217,2,0,1,0,1,4594.54,0
190,9800,320935,23,Life,Rabat,1801.39,5556.47,60,2,1,0,1,0,1283.49,0
191,5282,611566,58,Home,Tangier,7507.38,3384.46,60,1,1,2,0,0,1573.05,0
192,3511,153634,72,Travel,Rabat,9634.79,13956.78,27,2,0,1,0,0,21845.17,0
193,1659,803022,22,Auto,Fes,1657.79,3035.69,171,1,0,0,1,0,1450.06,1
194,3811,973420,33,Health,Rabat,4237.57,13301.07,76,1,0,2,0,0,5946.3,0
195,8098,859144,35,Health,Rabat,979.42,6371.47,20,1,1,1,0,1,5851.71,0
196,7546,992769,66,Health,Fes,5863.85,4404.51,191,0,1,1,1,1,5530.73,0
197,2986,592503,35,Travel,Marrakech,3941.78,3378.38,208,0,1,0,1,1,13667.48,0
198,9338,318599,18,Travel,Fes,1926.14,7812.96,153,0,1,1,0,1,2577.36,0
199,3911,337919,36,Auto,Casablanca,4428.95,10204.25,155,0,1,0,1,0,3977.48,0
200,2734,568668,71,Travel,Rabat,6071.9,13524.2,180,3,0,0,0,1,3495.12,1
201,2843,503359,25,Auto,Rabat,13048.98,9960.48,82,0,1,0,0,0,509.68,1
202,9680,584607,20,Travel,Marrakech,4802.92,7513.11,10,1,0,0,1,0,2296.85,1
203,3976,691731,42,Travel,Tangier,8656.73,985.4,178,3,0,1,0,1,14265.58,0
204,2959,391568,22,Travel,Fes,29314.17,13773.69,30,1,1,1,1,0,37193.0,0
205,6759,450988,72,Auto,Tangier,861.99,13584.35,1,3,1,1,0,0,12714.45,0
206,7694,928416,57,Home,Casablanca,12156.11,5991.4,54,2,1,1,0,1,7248.23,0
207,3385,141505,36,Auto,Fes,1037.97,921.0,4,1,0,2,0,0,1242.2,0
208,5736,202478,35,Home,Casablanca,1266.31,11133.86,215,1,1,0,1,1,5915.72,0
209,2802,162699,67,Health,Casablanca,2939.05,11979.37,135,0,1,1,0,1,5424.76,0
210,9155,518680,70,Health,Casablanca,1373.01,8365.75,30,1,1,2,0,1,51079.98,0
211,9120,254721,48,Auto,Agadir,1123.41,6341.69,90,0,1,0,1,0,856.81,0
212,7616,921190,50,Home,Fes,2772.53,12841.43,65,3,0,1,1,0,1406.73,0
213,6534,236668,64,Home,Fes,1998.4,3291.49,124,3,1,1,0,1,16513.58,0
214,5061,378518,35,Home,Agadir,1341.62,6873.59,29,0,1,0,0,0,23028.9,0
215,1262,742974,74,Health,Marrakech,950.38,855.05,153,0,1,0,0,1,6844.88,0
216,7287,365919,56,Auto,Agadir,16484.55,2878.15,40,2,0,2,1,1,3411.82,0
217,9815,913820,33,Life,Rabat,706.1,14142.05,26,1,0,1,0,1,8716.99,0
218,3049,485944,33,Home,Tangier,2437.64,8882.21,17,2,1,1,1,1,43382.72,0
219,6423,907461,64,Home,Tangier,11401.58,12181.09,159,0,0,2,1,1,2572.02,1
220,5548,708269,55,Life,Casablanca,7875.07,7554.26,189,1,0,2,0,0,7827.59,0
221,4108,415783,58,Auto,Fes,3946.0,12604.99,8,4,0,1,0,1,4016.03,1
222,8158,214010,24,Home,Fes,1410.4,8314.78,69,2,0,1,0,0,7111.55,0
223,8400,655393,31,Auto,Casablanca,2914.62,565.8,1,2,0,1,1,0,10706.45,1
224,4170,623472,60,Home,Rabat,773.65,13545.64,79,0,0,1,0,0,2733.71,0
225,3255,506884,70,Travel,Tangier,2117.18,2654.21,228,1,1,1,1,1,13103.85,0
226,2154,359021,65,Home,Agadir,2079.08,7033.04,71,0,0,0,1,1,3004.08,0
227,5499,247032,42,Travel,Marrakech,2334.51,7411.78,46,4,1,0,0,1,8712.87,0
228,7295,750807,49,Auto,Rabat,1157.93,1184.93,108,3,1,1,0,0,704.33,0
229,7197,242429,55,Home,Fes,389.53,1269.52,219,3,1,3,1,1,10542.58,0
230,2648,557820,39,Health,Casablanca,13389.47,11557.0,99,1,0,2,0,0,2023.87,0
231,6539,989171,33,Health,Tangier,10257.08,4856.54,124,2,1,1,0,1,2981.45,0
232,5199,413940,69,Life,Casablanca,8515.0,6439.61,219,1,1,1,0,1,514.43,0
233,9445,377948,46,Health,Fes,4694.29,8679.63,148,1,0,0,1,0,3925.47,0
234,3557,752020,33,Travel,Casablanca,3657.13,5914.1,210,2,1,1,1,0,18551.57,0
235,6592,769986,29,Health,Agadir,1296.7,11738.04,168,0,0,1,0,0,1026.13,0
236,1098,259204,34,Health,Tangier,1474.11,13324.74,2,4,0,1,1,0,5970.17,1
237,3200,894383,54,Health,Casablanca,17093.04,1365.91,222,6,1,2,1,1,639.1,1
238,3961,381209,44,Home,Tangier,22459.95,9713.35,189,2,0,0,1,0,4229.84,1
239,5973,987935,42,Life,Casablanca,2388.2,5106.07,230,2,1,1,1,0,11595.14,0
240,5433,205072,30,Auto,Casablanca,2994.45,8957.49,222,0,1,1,0,1,4409.32,0
241,3869,764490,25,Life,Tangier,7178.07,7516.66,71,0,0,0,0,1,10727.29,0
242,1956,189360,73,Travel,Agadir,3334.77,5338.34,103,2,0,1,0,0,2973.89,0
243,9352,162287,22,Home,Casablanca,3651.31,1874.83,77,2,1,1,1,0,65143.44,0
244,6699,338009,29,Home,Agadir,2774.54,8611.88,97,0,1,2,0,0,14777.95,0
245,7944,807062,58,Health,Rabat,967.39,2135.49,232,2,1,0,1,0,6060.0,0
246,5493,792353,20,Health,Marrakech,1905.28,2763.74,30,3,1,1,0,0,27226.0,0
247,5911,787235,52,Travel,Rabat,2539.19,14741.54,30,0,1,3,0,1,19822.28,0
248,4987,870644,50,Home,Marrakech,144.88,5092.23,215,1,1,1,1,0,2871.52,0
249,7015,761414,74,Auto,Rabat,3311.03,8974.32,173,1,0,1,1,0,8109.47,0
250,2218,330881,39,Life,Marrakech,48391.48,4447.36,24,1,1,1,0,0,3655.7,0
251,5496,207357,67,Home,Casablanca,1780.69,13049.89,212,4,1,0,0,1,12315.69,0
252,5735,541733,73,Auto,Tangier,3101.84,4608.43,220,2,1,3,0,0,23667.8,0
253,5555,307440,61,Auto,Tangier,1087.26,5819.83,184,2,0,0,1,1,1118.93,1
254,9050,653958,26,Life,Fes,802.17,9321.62,211,1,1,3,1,1,5536.49,0
255,4446,935544,58,Auto,Marrakech,2054.71,13114.81,61,2,1,0,0,1,21214.67,0
256,2045,974820,35,Travel,Fes,6347.09,12335.11,141,2,0,0,0,0,10513.4,0
257,7893,451300,67,Auto,Agadir,2251.82,4325.97,125,1,1,1,0,0,7536.72,0
258,2693,259379,46,Travel,Agadir,1902.85,12528.55,80,3,1,1,0,1,14401.95,0
259,4436,868447,56,Auto,Fes,5403.03,10667.33,184,1,1,2,0,1,1289.77,0
260,9754,298159,44,Health,Marrakech,3789.98,14852.51,15,1,1,3,1,1,8675.13,0
261,6895,934354,53,Auto,Tangier,4167.74,14063.99,11,0,0,1,1,1,16875.26,0
262,4354,294152,62,Travel,Marrakech,12436.03,8230.48,140,0,1,0,0,1,8685.76,0
263,1225,979780,34,Auto,Agadir,10695.32,11373.96,86,2,1,1,0,1,1451.85,0
264,5893,703623,73,Auto,Casablanca,17941.79,8767.61,89,0,1,2,0,1,3371.67,0
265,8022,912744,51,Auto,Fes,695.48,9127.43,3,4,0,1,0,0,4969.32,1
266,6600,166985,63,Travel,Fes,8339.07,1971.76,24,3,1,0,1,0,2166.4,0
267,8996,755032,20,Auto,Agadir,21482.36,532.56,89,2,1,1,0,1,1995.54,1
268,8683,876001,22,Life,Marrakech,420.23,1198.7,9,3,0,1,0,0,8032.22,1
269,5642,583178,31,Life,Fes,2909.94,14516.14,220,1,0,1,0,0,25525.31,0
270,8679,987395,20,Travel,Tangier,1553.21,2330.89,46,2,1,2,0,0,745.95,0
271,9208,271349,40,Health,Fes,2895.17,1143.65,94,4,1,0,0,1,3032.04,1
272,8339,655839,56,Life,Marrakech,11806.13,4989.84,71,3,0,2,1,0,2386.62,1
273,3205,714101,47,Home,Agadir,558.42,9028.61,188,1,1,0,1,1,22049.54,0
274,2069,549813,67,Life,Tangier,3999.74,14252.68,139,3,0,1,0,0,10129.26,1
275,4444,987457,62,Home,Tangier,1513.93,10648.37,10,1,1,1,1,1,19762.11,0
276,2060,486486,40,Travel,Fes,12248.64,4507.12,3,3,0,2,1,0,11917.97,1
277,3327,800572,44,Health,Marrakech,4940.0,14116.34,19,1,0,0,1,0,16014.36,0
278,4420,109637,71,Home,Fes,2466.87,1022.6,130,2,1,3,1,1,6546.46,0
279,1301,929690,27,Home,Casablanca,1259.23,14696.28,145,2,1,2,1,1,7909.7,0
280,1606,753841,42,Life,Agadir,72367.04,1350.29,221,1,1,0,0,0,8306.7,1
281,4170,651238,30,Home,Casablanca,4170.81,11430.82,130,3,0,2,0,1,5080.95,0
282,1699,516704,33,Travel,Tangier,542.43,1156.81,181,1,1,1,1,1,4939.79,0
283,6088,752158,58,Travel,Fes,1126.77,14007.64,144,0,0,2,1,0,7902.34,0
284,1190,597760,51,Travel,Casablanca,4890.93,2075.66,113,1,0,3,0,0,7704.55,0
285,1980,100215,72,Life,Rabat,1241.37,1231.95,138,2,0,2,0,1,6071.3,0
286,3975,467747,54,Health,Casablanca,1438.84,13394.34,196,1,0,1,0,0,5888.35,0
287,7102,897955,39,Life,Fes,9731.38,1889.01,43,0,1,2,1,0,10015.37,0
288,2184,955121,34,Travel,Fes,8750.72,12070.0,218,1,0,1,1,1,4326.09,0
289,4327,123834,40,Life,Agadir,1502.0,11332.0,58,1,1,1,0,0,1449.94,0
290,4394,396618,71,Travel,Casablanca,12149.29,9183.73,113,1,1,1,1,0,6038.12,0
291,9319,667354,53,Auto,Fes,1270.62,5980.46,188,2,0,3,0,1,2002.08,0
292,2816,372544,66,Auto,Fes,22748.38,13775.92,122,0,1,1,0,0,13886.27,0
